lower_bound,upper_bound,sample_count,mean_confidence,empirical_accuracy,calibration_gap
0.0,0.06666667014360428,0,0.0,0.0,0.0
0.06666667014360428,0.13333334028720856,0,0.0,0.0,0.0
0.13333334028720856,0.20000001788139343,0,0.0,0.0,0.0
0.20000001788139343,0.2666666805744171,0,0.0,0.0,0.0
0.2666666805744171,0.3333333432674408,0,0.0,0.0,0.0
0.3333333432674408,0.40000003576278687,0,0.0,0.0,0.0
0.40000003576278687,0.46666669845581055,0,0.0,0.0,0.0
0.46666669845581055,0.5333333015441895,3,0.5110133290290833,0.6666666865348816,0.15565335750579834
0.5333333015441895,0.5999999642372131,0,0.0,0.0,0.0
0.5999999642372131,0.6666666269302368,0,0.0,0.0,0.0
0.6666666269302368,0.7333333492279053,3,0.7025446891784668,0.6666666865348816,0.035878002643585205
0.7333333492279053,0.7999999523162842,2,0.781915545463562,0.5,0.281915545463562
0.7999999523162842,0.8666666746139526,4,0.8550000190734863,1.0,0.14499998092651367
0.8666666746139526,0.9333333373069763,7,0.891518771648407,1.0,0.10848122835159302
0.9333333373069763,1.0,684,0.9992433190345764,0.9985380172729492,0.0007053017616271973
