lower_bound,upper_bound,sample_count,mean_confidence,empirical_accuracy,calibration_gap
0.0,0.06666667014360428,0,0.0,0.0,0.0
0.06666667014360428,0.13333334028720856,0,0.0,0.0,0.0
0.13333334028720856,0.20000001788139343,0,0.0,0.0,0.0
0.20000001788139343,0.2666666805744171,0,0.0,0.0,0.0
0.2666666805744171,0.3333333432674408,0,0.0,0.0,0.0
0.3333333432674408,0.40000003576278687,0,0.0,0.0,0.0
0.40000003576278687,0.46666669845581055,0,0.0,0.0,0.0
0.46666669845581055,0.5333333015441895,3,0.5084114670753479,0.6666666865348816,0.1582552194595337
0.5333333015441895,0.5999999642372131,0,0.0,0.0,0.0
0.5999999642372131,0.6666666269302368,1,0.6523008346557617,1.0,0.3476991653442383
0.6666666269302368,0.7333333492279053,2,0.6838867664337158,0.5,0.18388676643371582
0.7333333492279053,0.7999999523162842,3,0.7625553607940674,0.6666666865348816,0.09588867425918579
0.7999999523162842,0.8666666746139526,10,0.844789981842041,1.0,0.15521001815795898
0.8666666746139526,0.9333333373069763,1,0.9058999419212341,1.0,0.09410005807876587
0.9333333373069763,1.0,683,0.9986980557441711,0.9985358715057373,0.0001621842384338379
