perturbation_name,sample_count,prediction_consistency,mean_confidence_change,mean_entropy_change,mean_ood_score_change,accept_rate,review_rate,abstain_rate
brightness_decrease,80,0.9875,0.004153297841548919,-0.00471044756562442,1.8163164674849586,0.0,0.9,0.1
brightness_increase,80,0.975,-0.0020806044340133667,0.0044936055453174365,1.1377676034172708,0.375,0.5375,0.0875
contrast_decrease,80,0.9875,0.007849695533514023,-0.00664192525800722,2.153835937336669,0.0,0.9125,0.0875
mild_blur,80,0.9625,-0.006015954539179802,0.0288749346166437,3.9691174780216913,0.1,0.7625,0.1375
mild_gaussian_noise,80,0.975,0.005923407524824143,-0.004353980797755596,0.4228037496659466,0.375,0.55,0.075
strong_blur,80,0.8125,-0.08954299204051494,0.26330926726313597,16.196136508587667,0.0,0.6125,0.3875
strong_gaussian_noise,80,0.95,-0.050857949256896975,0.15746261853409713,18.052359757297314,0.075,0.525,0.4
