experiment_name,architecture,seed,batch_size,learning_rate,mixed_precision,dataset_fingerprint,parameter_count,trainable_parameter_count,estimated_model_size_mb,checkpoint_size_mb,best_epoch,best_validation_accuracy,best_validation_precision_macro,best_validation_recall_macro,best_validation_macro_f1,best_validation_loss,epochs_completed,training_duration_seconds,mean_per_image_latency_ms,throughput_images_per_second,checkpoint_load_time_ms,peak_vram_mb,peak_benchmark_vram_mb,weights_name,input_size,class_mapping,source_summary_path
convnext_tiny_seed42,convnext_tiny,42,4,0.0001,True,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1,27823204,27823204,106.14,318.59,17,0.9928876244665719,0.9930245028476539,0.9924255255810134,0.9926939550063636,0.031830216878508434,20,1.8184558000011748,9.24489200006974,108.16784014269246,3414.5840000001044,428.17,806.31,ConvNeXt_Tiny_Weights.IMAGENET1K_V1,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",artifacts/training/comparison/convnext_tiny_seed42/summary.json
densenet121_seed42,densenet121,42,8,0.0001,False,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1,6957956,6957956,26.54,80.42,13,0.9943100995732574,0.9943174972617743,0.9945487733889475,0.9944200759418182,0.018060726114494573,18,4504.287591,7.144218750008804,139.9733175861626,1663.4758000000147,1115.13,313.37,DenseNet121_Weights.IMAGENET1K_V1,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",artifacts/training/comparison/densenet121_seed42/summary.json
densenet121_seed1337,densenet121,1337,8,0.0001,False,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1,6957956,6957956,26.54,80.42,10,0.9914651493598862,0.9913645382395382,0.9920612111998928,0.9916606713735242,0.03433288513537222,15,2336.0263471,7.146410999998807,139.9303790392362,584.4639999995707,1115.13,313.37,DenseNet121_Weights.IMAGENET1K_V1,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",artifacts/training/comparison/densenet121_seed1337/summary.json
efficientnet_v2_s_seed42,efficientnet_v2_s,42,8,0.0001,True,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1,20182612,20182612,76.99,232.1,6,0.9857752489331437,0.9859913793103449,0.9853771709735792,0.9855959659003766,0.04542672244121008,11,8575.3759857,9.970860499997798,100.29224659197878,3544.647700000496,894.08,759.88,EfficientNet_V2_S_Weights.IMAGENET1K_V1,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",artifacts/training/comparison/efficientnet_v2_s_seed42/summary.json
resnet18_seed42,resnet18,42,16,0.0001,True,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1,11178564,11178564,42.64,128.04,9,0.9857752489331437,0.9859033036786511,0.9858720928391629,0.985834622442677,0.03784097954339399,14,2494.587456200001,1.7990629999803787,555.8449037142703,538.596399997914,382.12,481.78,ResNet18_Weights.IMAGENET1K_V1,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",artifacts/training/comparison/resnet18_seed42/summary.json
