architecture,run_count,experiment_names,seeds,batch_sizes,learning_rates,mixed_precision_modes,weights_name,parameter_count,trainable_parameter_count,estimated_model_size_mb,checkpoint_size_mb_mean,checkpoint_size_mb_max,input_size,class_mapping,best_validation_accuracy,mean_validation_accuracy,std_validation_accuracy,best_validation_macro_f1,mean_validation_macro_f1,std_validation_macro_f1,worst_validation_macro_f1,best_validation_loss,best_epoch,training_duration_seconds_mean,training_duration_seconds_max,mean_per_image_latency_ms,throughput_images_per_second,checkpoint_load_time_ms_mean,peak_vram_mb_max,peak_benchmark_vram_mb_max,best_run_experiment_name,best_run_seed,worst_run_experiment_name,worst_run_seed,dataset_fingerprint
densenet121,2,"['densenet121_seed42', 'densenet121_seed1337']","[42, 1337]","[8, 8]","[0.0001, 0.0001]",[False],DenseNet121_Weights.IMAGENET1K_V1,6957956,6957956,26.54,80.42,80.42,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",0.9943100995732574,0.9928876244665719,0.002011683588012946,0.9944200759418182,0.9930403736576712,0.0019511936822778561,0.9916606713735242,0.018060726114494573,13,3420.15696905,4504.287591,7.145314875003805,139.95184831269938,1123.9698999997927,1115.13,313.37,densenet121_seed42,42,densenet121_seed1337,1337,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1
convnext_tiny,1,['convnext_tiny_seed42'],[42],[4],[0.0001],[True],ConvNeXt_Tiny_Weights.IMAGENET1K_V1,27823204,27823204,106.14,318.59,318.59,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",0.9928876244665719,0.9928876244665719,,0.9926939550063636,0.9926939550063636,,0.9926939550063636,0.031830216878508434,17,1.8184558000011748,1.8184558000011748,9.24489200006974,108.16784014269246,3414.5840000001044,428.17,806.31,convnext_tiny_seed42,42,convnext_tiny_seed42,42,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1
resnet18,1,['resnet18_seed42'],[42],[16],[0.0001],[True],ResNet18_Weights.IMAGENET1K_V1,11178564,11178564,42.64,128.04,128.04,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",0.9857752489331437,0.9857752489331437,,0.985834622442677,0.985834622442677,,0.985834622442677,0.03784097954339399,9,2494.587456200001,2494.587456200001,1.7990629999803787,555.8449037142703,538.596399997914,382.12,481.78,resnet18_seed42,42,resnet18_seed42,42,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1
efficientnet_v2_s,1,['efficientnet_v2_s_seed42'],[42],[8],[0.0001],[True],EfficientNet_V2_S_Weights.IMAGENET1K_V1,20182612,20182612,76.99,232.1,232.1,"[224, 224]","{'glioma': 0, 'meningioma': 1, 'pituitary': 2, 'no_tumor': 3}",0.9857752489331437,0.9857752489331437,,0.9855959659003766,0.9855959659003766,,0.9855959659003766,0.04542672244121008,6,8575.3759857,8575.3759857,9.970860499997798,100.29224659197878,3544.647700000496,894.08,759.88,efficientnet_v2_s_seed42,42,efficientnet_v2_s_seed42,42,b15363ff85ecf29d11c67a2c38fad723a7bb339cb4489e53dd637ab16f8c24b1
