lower_bound,upper_bound,sample_count,mean_confidence,empirical_accuracy,calibration_gap
0.0,0.06666667014360428,0,0.0,0.0,0.0
0.06666667014360428,0.13333334028720856,0,0.0,0.0,0.0
0.13333334028720856,0.20000001788139343,0,0.0,0.0,0.0
0.20000001788139343,0.2666666805744171,0,0.0,0.0,0.0
0.2666666805744171,0.3333333432674408,0,0.0,0.0,0.0
0.3333333432674408,0.40000003576278687,0,0.0,0.0,0.0
0.40000003576278687,0.46666669845581055,0,0.0,0.0,0.0
0.46666669845581055,0.5333333015441895,2,0.47949540615081787,0.0,0.47949540615081787
0.5333333015441895,0.5999999642372131,1,0.5864393711090088,1.0,0.4135606288909912
0.5999999642372131,0.6666666269302368,3,0.6282392144203186,0.6666666865348816,0.03842747211456299
0.6666666269302368,0.7333333492279053,4,0.7148261666297913,0.75,0.03517383337020874
0.7333333492279053,0.7999999523162842,4,0.765538215637207,0.5,0.26553821563720703
0.7999999523162842,0.8666666746139526,6,0.8314935564994812,0.6666666865348816,0.1648268699645996
0.8666666746139526,0.9333333373069763,1,0.872283935546875,0.0,0.872283935546875
0.9333333373069763,1.0,682,0.9977513551712036,0.9985337257385254,0.0007823705673217773
