lower_bound,upper_bound,sample_count,mean_confidence,empirical_accuracy,calibration_gap
0.0,0.06666667014360428,0,0.0,0.0,0.0
0.06666667014360428,0.13333334028720856,0,0.0,0.0,0.0
0.13333334028720856,0.20000001788139343,0,0.0,0.0,0.0
0.20000001788139343,0.2666666805744171,0,0.0,0.0,0.0
0.2666666805744171,0.3333333432674408,0,0.0,0.0,0.0
0.3333333432674408,0.40000003576278687,0,0.0,0.0,0.0
0.40000003576278687,0.46666669845581055,2,0.46367818117141724,0.0,0.46367818117141724
0.46666669845581055,0.5333333015441895,0,0.0,0.0,0.0
0.5333333015441895,0.5999999642372131,2,0.5744363069534302,0.5,0.07443630695343018
0.5999999642372131,0.6666666269302368,3,0.6334201693534851,1.0,0.3665798306465149
0.6666666269302368,0.7333333492279053,4,0.7061814665794373,0.75,0.043818533420562744
0.7333333492279053,0.7999999523162842,6,0.7633171081542969,0.3333333432674408,0.4299837648868561
0.7999999523162842,0.8666666746139526,4,0.8234906196594238,0.75,0.07349061965942383
0.8666666746139526,0.9333333373069763,10,0.9180653691291809,0.8999999761581421,0.01806539297103882
0.9333333373069763,1.0,672,0.9974939227104187,1.0,0.002506077289581299
